time,at_risk,events,survival,std_err,ci_lower,ci_upper,true_survival,abs_error
0.03644751714893291,1999,1,0.9994997498749375,0.0005001249843163425,0.9964541016099145,0.9999295178734479,0.9997833061126037,0.00028355623766618265
0.9590138302861344,1942,1,0.9834048632765958,0.002864846002217903,0.9767357586018376,0.9881737223917477,0.984906174218585,0.0015013109419891313
1.8368812410803412,1881,1,0.9670726722045117,0.004016810209013097,0.9582011721215159,0.9740867538995475,0.9652170855788428,0.0018555866256688702
2.3773886659065147,1830,1,0.9505203694124805,0.004899267332991897,0.9399546295126341,0.9592673466784889,0.9516996874003288,0.0011793179878483162
2.9244299096664497,1785,1,0.9338141078813125,0.005633405778033175,0.9218397268341579,0.9440099858038059,0.9372543415399972,0.0034402336586847326
3.4963025361403206,1736,1,0.9169659095134897,0.006269873972333474,0.9037721972662139,0.9284228176267342,0.9215145627816151,0.00454865326812548
4.068905750740562,1691,1,0.8999826746553337,0.006834867765123729,0.8857087261509089,0.9125628021105765,0.9052436405248236,0.005260965869489986
4.758593274718051,1634,1,0.8827982861894387,0.007348548195295009,0.8675437236621844,0.8964022274294604,0.8851265554500901,0.002328269260651439
5.206216234748144,1590,1,0.8654284674214053,0.007819222939451337,0.8492772739502771,0.8799730648564825,0.871837117572774,0.006408650151368711
5.954652555898107,1537,1,0.8478595641410478,0.008254305610157525,0.830881390839658,0.8632759908015422,0.84931956440077,0.0014600002597222606
6.633348335478884,1486,1,0.8301005306488674,0.008657891106007225,0.8123572585263091,0.8463279799869374,0.8286791964841059,0.001421334164761423
7.239377267126379,1433,1,0.8121063504397679,0.009035735879550725,0.7936485440922274,0.8290950896014273,0.8101457296942176,0.0019606207455502567
7.737906507271317,1386,1,0.7938714115375439,0.00939028588665226,0.7747450091527761,0.8115765401622388,0.7948665969438388,0.0009951854062948406
8.22209493187724,1341,1,0.7754345375330615,0.009721394725097065,0.755686008755969,0.7938110227898317,0.7800250945620328,0.004590557028971376
8.893656203759601,1295,1,0.756807990975336,0.010030047973840193,0.736481958895419,0.7758127526059801,0.7594772939890706,0.002669303013734581
9.32014875113117,1255,1,0.7380681222064316,0.010314278027713217,0.7172132478567312,0.7576543649916119,0.7464710369587361,0.00840291475230448
9.910102587015556,1211,1,0.7191565080439435,0.010577954436154103,0.697813716801253,0.7392848277829285,0.7285604875338647,0.009403979489921221
10.383314119708647,1167,1,0.700051625756061,0.010822697273971381,0.6782586666393259,0.7206857590987309,0.7142785526077157,0.01422692685165472
10.939314320319273,1122,1,0.6806928673435917,0.011051259153872913,0.6584820766218237,0.7018018935800145,0.697612695599998,0.016919828256406255
11.522333747405504,1073,1,0.6610798849456198,0.011263640078369988,0.6384836955700326,0.6826329583067577,0.6802894010109622,0.01920951606534249
12.274136457826446,1028,1,0.6412130400612539,0.011459634860151804,0.6182643816317483,0.6631789903186032,0.6582118143436272,0.016998774282373286
13.078307947173439,979,1,0.6210799638955845,0.0116394285695759,0.5978114805894906,0.6434280454175899,0.6349588618338919,0.013878897938307433
13.996752824732061,931,1,0.6005556768283185,0.011806798622555986,0.5769926749282959,0.6232625771103243,0.6089065627815833,0.00835088595326483
14.546768496070815,890,1,0.5797868607571957,0.011955737737393706,0.5559666045101992,0.6028176994414227,0.5935812761629663,0.013794415405770644
15.144344547462588,845,1,0.5587782034320418,0.012085645191340267,0.5347391919432091,0.5820969774072274,0.5771775044961992,0.018399301064157436
15.967263751399317,794,1,0.5373874580716933,0.012200343685514262,0.5131608212816166,0.5609657441879812,0.5550250553838378,0.017637597312144537
16.863272721499296,739,1,0.515403029388517,0.012304854198562504,0.49101036466424397,0.5392224990604101,0.5315023647330197,0.016099335344502697
17.73657832757079,692,1,0.4928197379096274,0.01239654011714805,0.46828816081175983,0.516857242765207,0.5091940832753937,0.01637434536576632
18.56108372983441,645,1,0.469687139033473,0.012471045218400553,0.445052597117673,0.49391130271891187,0.4887058292200799,0.0190186901866069
19.953062944193192,584,1,0.4458023076592491,0.012531649059405885,0.42109491032699603,0.4701887184270418,0.45540378300782464,0.009601475348575528
20.922832774911512,541,1,0.4212011488041639,0.012572242400630672,0.396463466178111,0.44571393467321696,0.43316902583192884,0.011967877027764917
22.417651360149463,489,1,0.39580374780690614,0.012590760697789213,0.3710830814045723,0.4204036672968793,0.4004563457975292,0.004652597990623064
23.36527155576321,440,1,0.3693126222808429,0.01258933368830304,0.3446534970317833,0.3939659369277233,0.38069524000658606,0.011382617725743172
24.7561452259937,381,1,0.34167496126883823,0.012560629422359412,0.3171375902645134,0.36633490613663183,0.3530484337831404,0.011373472514302152
26.25397756712666,338,1,0.3124640886107377,0.012503885787190056,0.2881130872665236,0.3370852385638027,0.32505069445572105,0.012586605844983334
28.101034239346262,287,1,0.2820095077443355,0.01239155869580087,0.2579645766251748,0.3064938442573942,0.29298870976719316,0.010979202022857681
30.362421036740944,239,1,0.2495302796170712,0.01222440087954841,0.22591610377346646,0.27378763923783284,0.25728484191995754,0.0077545623028863475
32.43409294940811,188,1,0.2144262306571348,0.011981318294232832,0.19141845850745118,0.23833499304109454,0.22781927260544543,0.013393041948310647
34.15369131475143,141,1,0.1761007127920518,0.011604457585914118,0.1540037677922495,0.19944242405920182,0.20557265759667281,0.02947194480462101
39.06012675637531,80,1,0.12972847685808328,0.01111358126930759,0.10890132452730504,0.15241896420969092,0.15204806867769946,0.02231959181961618
49.01772585344062,23,1,0.06494913626032087,0.010195988535204792,0.04689638657506893,0.08688687954773987,0.07962933757560677,0.014680201315285898
